fe-1,fe-2,fe-3,fe-4,fe-5,fe-6,fe-7,fe-8,fe-9,fe-10,CIHigh,CILow,MOS
-131948.6169909027,36620.90727116643,3822.0895889541594,6616.675520624655,-474.70585918086465,-22873.59436313406,-3411.7616590038497,-632.2004239997565,470.3662179990395,159.02514117790054,1.74043084,1.328534677,1.534482759
-8572.136847605532,-16777.30341543857,3720.247692908887,-11071.459571657102,1125.2699902374668,40598.872011906526,-4146.316027630335,-402.21124992614693,-224.27676463505864,-71.2558909473208,2.147725643,1.552274357,1.85
-120360.21443036043,10134.504422074395,-15464.959965841652,22522.003356326168,-7584.076690910062,-2545.4479626831244,-3576.810506088673,394.2799169813326,16.634058775210516,22.819317005014714,3.531309226,3.020414912,3.275862069
-92459.22606301133,-34947.048352890466,17766.17558644037,-7561.171859071185,139.37994520567926,40030.93432125676,-7124.025155729293,517.2724884839215,-198.0666520059835,-64.50504945056966,2.728516741,2.054091954,2.391304348
7075.79871589502,-32986.12210868919,-2460.1415687300705,599.9524138599435,18.062285349964437,273.053980075505,-3884.9330358177767,-592.9240671301033,101.23571936912099,-64.14808587322533,4.23399043,3.535240339,3.884615385
240152.04350781915,-53137.7862928369,-3295.7383288435176,-92.14336902634119,-443.1035543547108,3671.6340995826267,-8301.207190004217,393.6819412396154,262.75358465517377,74.35042540209736,3.469450144,2.923406999,3.196428571
-190106.4398123923,695.2418077847323,1854.4766887906303,1793.5134807800048,1108.1538674182132,-915.4386237070374,11788.662119720591,-377.9786296165868,-230.92866899054377,-0.3221854562104059,3.448905722,2.930404623,3.189655172
-192550.92346794278,23579.674079202567,40949.4483722102,6588.300698339237,-487.9854644276844,6038.49037911992,4384.146681623358,-394.0510202223139,262.87891684715186,277.68100139268756,1.770033908,1.363299425,1.566666667
102995.09709901223,-4346.599785654542,-33710.428969578345,-6817.72153632151,1229.558589546261,-821.3302906863004,-6582.007430679909,-603.7399893892348,12.76923233839211,-51.511867482450356,3.658971212,3.055314503,3.357142857
216089.48208071652,-23656.9423614388,20048.9528722072,-33869.24849749098,-38890.54361874892,-23529.52356083853,-4136.746243538382,372.5111937519515,26.86307507570945,57.657858883472166,2.986568337,2.293431663,2.64
-133621.51855550057,-15741.948813768562,-886.0939702986651,1253.6319354796642,472.51593519283267,-1375.4164908714401,2469.26372559674,478.25061528675195,22.36010703515011,-9.532913187626514,3.574117983,3.046571672,3.310344828
-5312.977245128243,36831.282962113284,65310.312310607325,6853.463406550008,-3371.630618058145,13688.685519196386,-25364.60577804321,257.5472807493775,-351.0104655503964,17.59410894725694,1.442300703,1.057699297,1.25
-102559.46708534399,-3239.4872116972656,-17240.127911683252,-2545.7015760445324,900.2663419015906,-2439.49771148836,-882.994688107418,-568.3023886753105,-115.81654096374372,11.456193428609025,3.857237033,3.384142278,3.620689655
-77623.80415645492,8546.810450909843,-33746.92790297086,-6352.889327075435,1261.9460299495802,-3683.5859688268156,-4941.795449210721,-626.3483863374172,-129.85301687183573,16.036685767135978,4.24461591,3.686418572,3.965517241
-178537.7172114407,11070.30038061526,-15281.92815922897,-2096.792467401525,1328.3044122459728,-2581.8477796394004,6092.918508220912,531.169849173882,-245.04798991730988,9.499050742333221,3.394160216,2.89155407,3.142857143
176344.48446837594,-1831.1631625815053,41623.89831047296,27684.46812169334,-58461.08654787927,-21728.640333682255,-2952.300031261873,-605.6545502708015,-345.61195448942783,-35.08050557959152,1.965763382,1.498522332,1.732142857
-163371.8021396246,21798.27843460629,-32194.503462540364,-5952.868097631045,1586.6057813299078,-4125.138040600305,871.0962610537713,451.03342974303786,-224.60216985844042,16.980331654660006,3.421011653,2.986395754,3.203703704
51809.71371273875,-9921.899265425916,-35785.16322192238,-7061.4555554440885,687.2164349692907,-2388.225422558162,-12668.329366012753,274.95640628796696,-20.814828111425822,-35.924636098943985,4.672867535,4.18920143,4.431034483
-199001.39537297393,7083.478348273271,4253.352899395629,-3001.645729908667,1536.1411062194118,15509.460153442375,11386.9970574721,-282.0064381519615,592.7121661488912,-111.66428576436235,1.362669765,1.137330235,1.25
