fe-1,fe-2,fe-3,fe-4,fe-5,fe-6,fe-7,fe-8,fe-9,fe-10,fe-11,fe-12,fe-13,fe-14,fe-15,fe-16,fe-17,CIHigh,CILow,MOS
-102740.1310454273,-3260.89683691647,-17240.38838310683,-2545.4157845414866,-898.1551503660874,2443.771138859418,903.6443111187577,564.947203500723,32.15753841796371,-5.411818635981333,-3.920090905901962,-4.206651298746291,3.73821534855005,6.2855091255089865,-10.89470692915021,-7.559052193872763,9.189933775657613,3.720526178,3.246140488,3.483333333
-191915.69020242395,27885.889161593575,-8528.711275313573,12819.668571446951,-11036.567994416564,8036.713640643343,-3312.8013466270277,-511.20550086462356,784.4122641166562,-74.77838223709439,26.132624752859428,-33.04750164256979,4.929514351209662,3.917340150945732,6.278201027074761,-35.18515099009584,9.355575906621922,2.518109498,1.948557169,2.233333333
-77647.13002551909,8549.655974164769,-33757.39842326631,-6355.234525824342,-1261.7264214197978,3685.265017306253,4948.850848655467,625.6334578623737,-95.57881019178689,14.085178752047074,10.02517724880667,1.3096927630580502,8.26654666463073,7.851410488159157,-11.005467145471641,-1.1692747927486231,8.482481229723383,3.923636291,3.335622968,3.62962963
356237.27653919545,-8646.435842463316,22395.155366063176,-2283.474900412392,-55927.04339150959,12311.989193695968,-2476.9663424300484,397.74948672068706,-6.625599319801756,-27.837099068230327,1.7133471223677832,-7.817766452555967,5.973714268223627,-16.233770144100845,8.63008402986202,7.732639738545563,-4.010720660585189,2.486585659,1.977700056,2.232142857
-156359.61151131234,-27291.713320727715,15718.158086640646,5072.757504565761,-134.52922290833544,58.979667039491744,-6808.125064964152,456.55354382026303,70.86037921477691,-20.999651920669972,3.446705380011495,-2.3617067645146257,-6.660883595333001,4.926130262151908,-2.5279290514895303,-11.648668541333258,6.774280321139113,3.636244181,3.018928233,3.327586207
-155979.93954931005,-27251.677865100603,15730.910987404233,5074.575049129331,-138.75146089453793,48.355100174814886,-6854.922636003019,460.7731197213156,-133.471581552988,-3.4777620268405554,-14.27866964555795,7.9032329947541236,-8.590029394828022,2.126598755308276,-0.8924150501030226,-10.172246065351468,-0.1469186391418936,3.462234023,3.020524597,3.24137931
-13707.49704338054,58250.55172447235,20111.22617482251,-697.5644623939709,443.36535287923414,-8291.01219942258,10305.111796286803,537.8525021811698,54.36201876429161,149.38401378108622,3.4646590509549084,-20.04424234661574,-40.72775882635566,-34.030748002084906,42.10104174495383,-0.4390087852920315,15.440276799111787,1.467294188,1.153395467,1.310344828
-111511.39139821591,-4217.33192855945,-17600.554249793153,-2587.409710164168,-804.9756272806179,2716.950172121362,1959.559366244634,-408.75765077587164,-162.29966479150667,13.016135937998094,-18.67882696104571,9.324976670316595,3.006308123703215,0.018236681827963473,-9.249235955150116,0.9251122321928776,-0.2682640098396368,3.884859971,3.329425744,3.607142857
-5312.977245128218,36831.28296211208,65310.312310606394,6853.463406551038,3371.63061805902,-13688.685519196417,25364.605778043213,-257.54728076450857,-351.01046556292806,17.594109350184794,19.142944181993947,-46.73439262377026,65.97182127458548,-62.923357139778616,-111.0922652941448,-21.620212440785156,15.100759808379639,1.442300703,1.057699297,1.25
-213707.64668739523,-2212.9749811147644,25044.849854822318,-3553.028688106834,9634.634542500602,6831.152886313765,-17898.34063133087,303.1946675166132,-99.33587148037375,-6.245377720270158,15.154133148952805,-8.535535080468788,-6.6677989152090475,6.899457342653476,5.047167980230152,10.446113065623965,18.010490401724148,2.576073139,2.123926861,2.35
-161757.64749986108,21975.32130728596,-32128.942917746306,-5945.490945369519,-1604.2225568119202,4071.531218226766,-1078.9381302969018,543.9212534343815,-211.2519182653284,17.87460095680347,3.2239598622182934,5.462228218325067,8.879786871729443,12.304345473928404,-14.01477546898243,-0.30718560030548775,7.880526086334128,3.312221095,2.887778905,3.1
-77373.06945264204,-51259.12032247938,11640.217338242344,4125.327942557262,974.0574356792076,303.7065781376905,6896.116761211485,-321.69489426279307,-32.271032692292565,-41.919852168378185,13.835733351716021,13.627663974688055,-7.200706241688774,-19.158775879833335,4.95626814485296,-0.813898252845737,-5.982680517021294,2.728559181,2.057155105,2.392857143
-101098.87213979197,6926.486666837637,47846.5552769677,-32033.43875251424,-11236.313187072145,-8964.161389949513,5658.712009568532,504.50036457322915,293.1234428307155,25.48909175625073,47.13377559932546,-51.33254794528167,-45.60745006361887,76.48650833675511,-35.928035716321325,55.520475690754736,-33.18922107384464,1.424230754,1.075769246,1.25
